league,time_stamp
nfl,2020-12-04T16:18:28.088238716Z
nfl,2020-12-04T17:18:28.04943048Z
nfl,2020-12-04T18:18:28.124357692Z
nfl,2020-12-04T19:18:28.080366949Z
nfl,2020-12-04T20:18:28.394996677Z
nfl,2020-12-04T21:18:28.181206171Z
nfl,2020-12-04T22:18:28.188219064Z
nfl,2020-12-04T23:18:30.771411755Z
nfl,2020-12-05T00:18:28.45193776Z
nfl,2020-12-05T01:18:28.067404024Z
nfl,2020-12-05T02:18:28.370555409Z
nfl,2020-12-05T03:18:28.525093125Z
nfl,2020-12-05T04:18:28.38457582Z
nfl,2020-12-05T05:18:28.37532334Z
nfl,2020-12-05T06:18:28.265814694Z
nfl,2020-12-05T07:18:27.928660131Z
nfl,2020-12-05T08:18:28.084835747Z
nfl,2020-12-05T09:18:28.146557987Z
nfl,2020-12-05T10:18:28.333180695Z
nfl,2020-12-05T11:18:28.262348494Z
nfl,2020-12-05T12:18:28.30755681Z
nfl,2020-12-05T13:18:28.695714365Z
nfl,2020-12-05T14:18:28.556901998Z
nfl,2020-12-05T15:18:28.044636709Z
nfl,2020-12-05T16:18:28.247935496Z
nfl,2020-12-05T17:18:28.604658004Z
nfl,2020-12-05T18:18:28.747616874Z
nfl,2020-12-05T19:18:28.359051495Z
nfl,2020-12-05T20:18:28.082218222Z
nfl,2020-12-05T21:11:36.223897189Z
nfl,2020-12-05T21:18:27.909444597Z
nfl,2020-12-05T22:18:28.216856874Z
nfl,2020-12-05T23:18:28.255684857Z
nfl,2020-12-06T00:18:30.612465104Z
nfl,2020-12-06T01:18:28.593706484Z
nfl,2020-12-06T02:18:28.132835013Z
nfl,2020-12-06T03:18:28.202968291Z
nfl,2020-12-06T04:18:28.598180441Z
nfl,2020-12-06T05:18:28.651270691Z
nfl,2020-12-06T06:18:28.483945297Z
nfl,2020-12-06T07:18:28.313721961Z
nfl,2020-12-06T08:18:28.502706886Z
nfl,2020-12-06T09:18:28.287953046Z
nfl,2020-12-06T10:18:28.61875393Z
nfl,2020-12-06T11:18:28.628172929Z
nfl,2020-12-06T12:18:28.250310432Z
nfl,2020-12-06T13:18:28.183437892Z
nfl,2020-12-06T14:18:28.600582055Z
nfl,2020-12-06T15:18:28.484094307Z
nfl,2020-12-06T16:18:28.544748279Z
nfl,2020-12-06T17:18:28.520993615Z
nfl,2020-12-06T18:18:28.414040026Z
nfl,2020-12-06T19:18:28.44459006Z
nfl,2020-12-06T20:18:29.322943783Z
nfl,2020-12-06T21:18:28.257660623Z
nfl,2020-12-06T22:18:28.059289985Z
nfl,2020-12-06T23:18:28.798418761Z
nfl,2020-12-07T00:18:28.563533837Z
nfl,2020-12-07T01:18:28.247616388Z
nfl,2020-12-07T02:18:28.722368095Z
nfl,2020-12-07T03:18:28.697236998Z
nfl,2020-12-07T04:18:28.654633365Z
nfl,2020-12-07T05:18:28.203905309Z
nfl,2020-12-07T06:18:28.382947041Z
nfl,2020-12-07T07:18:28.734519442Z
nfl,2020-12-07T08:18:28.493178365Z
nfl,2020-12-07T09:18:28.406077363Z
nfl,2020-12-07T10:18:28.830894904Z
nfl,2020-12-07T11:18:29.686577332Z
nfl,2020-12-07T12:18:28.373478852Z
nfl,2020-12-07T13:18:28.288954199Z
nfl,2020-12-07T14:18:28.317264942Z
nfl,2020-12-07T15:18:28.76703759Z
nfl,2020-12-07T16:18:28.457119648Z
nfl,2020-12-07T17:18:28.671541007Z
nfl,2020-12-07T18:18:28.604753034Z
nfl,2020-12-07T19:18:28.41379915Z
nfl,2020-12-07T20:18:28.536430467Z
nfl,2020-12-07T21:18:29.362500569Z
nfl,2020-12-07T22:18:28.712279112Z
nfl,2020-12-07T23:18:28.666079122Z
nfl,2020-12-08T00:18:28.509934889Z
nfl,2020-12-08T01:18:28.295065544Z
nfl,2020-12-08T02:18:28.519301198Z
nfl,2020-12-08T03:18:28.594291201Z
nfl,2020-12-08T04:18:28.373689821Z
nfl,2020-12-08T05:18:28.024691522Z
nfl,2020-12-08T06:18:28.020153989Z
nfl,2020-12-08T07:18:28.083971123Z
nfl,2020-12-08T08:18:27.933497104Z
nfl,2020-12-08T09:18:27.968417614Z
nfl,2020-12-08T10:18:27.807998983Z
nfl,2020-12-08T11:18:28.093080163Z
nfl,2020-12-08T12:18:28.382121225Z
nfl,2020-12-08T13:18:28.175462668Z
nfl,2020-12-08T14:18:27.724005217Z
nfl,2020-12-08T15:18:27.973873786Z
nfl,2020-12-08T16:18:28.136299909Z
nfl,2020-12-08T17:18:28.084337796Z
nfl,2020-12-08T18:18:27.919703397Z
nfl,2020-12-08T19:18:28.135653766Z
nfl,2020-12-08T20:18:27.88901158Z
nfl,2020-12-08T21:18:29.610023353Z
nfl,2020-12-08T22:18:28.049755059Z
nfl,2020-12-08T23:18:28.243097284Z
nfl,2020-12-09T00:18:28.030165799Z
nfl,2020-12-09T01:18:27.824613172Z
nfl,2020-12-09T02:18:27.855729184Z
nfl,2020-12-09T03:18:27.566864238Z
nfl,2020-12-09T04:18:27.876339045Z
nfl,2020-12-09T05:18:28.187281649Z
nfl,2020-12-09T06:18:28.17032419Z
nfl,2020-12-09T07:18:28.331845404Z
nfl,2020-12-09T08:18:29.168698395Z
nfl,2020-12-09T09:18:28.723048663Z
nfl,2020-12-09T10:18:28.341596494Z
nfl,2020-12-09T11:18:28.266462889Z
nfl,2020-12-09T12:18:28.189369891Z
nfl,2020-12-09T13:18:28.139232657Z
nfl,2020-12-09T14:18:28.15834761Z
nfl,2020-12-09T15:18:28.305722909Z
nfl,2020-12-09T16:18:28.377141862Z
nfl,2020-12-09T17:18:28.348195993Z
nfl,2020-12-09T18:18:28.281776761Z
nfl,2020-12-09T19:18:28.072539913Z
nfl,2020-12-09T20:18:28.403582548Z
nfl,2020-12-09T21:18:28.240626864Z
nfl,2020-12-09T22:18:28.143505025Z
nfl,2020-12-09T23:18:28.327469857Z
nfl,2020-12-10T00:18:28.056580754Z
nfl,2020-12-10T01:18:28.417036615Z
nfl,2020-12-10T02:18:28.418988362Z
nfl,2020-12-10T03:18:28.414043376Z
nfl,2020-12-10T04:18:28.037270248Z
nfl,2020-12-10T05:18:28.168409503Z
nfl,2020-12-10T06:18:28.90343046Z
nfl,2020-12-10T07:18:28.520541107Z
nfl,2020-12-10T08:18:28.174048041Z
nfl,2020-12-10T09:18:28.594954029Z
nfl,2020-12-10T10:18:28.609401013Z
nfl,2020-12-10T11:18:28.315893642Z
nfl,2020-12-10T12:18:27.968139446Z
nfl,2020-12-10T13:18:28.595419463Z
nfl,2020-12-10T14:18:28.574364691Z
nfl,2020-12-10T15:18:28.252516307Z
nfl,2020-12-10T16:18:28.223910005Z
nfl,2020-12-10T17:18:28.625181766Z
nfl,2020-12-10T18:18:28.122498278Z
nfl,2020-12-10T19:18:28.047523447Z
nfl,2020-12-10T20:18:27.939146223Z
nfl,2020-12-10T21:18:28.363600828Z
nfl,2020-12-10T22:18:28.30911705Z
nfl,2020-12-10T23:18:28.29277493Z
nfl,2020-12-11T00:18:28.319623726Z
nfl,2020-12-11T00:29:34.129154443Z
nfl,2020-12-11T01:18:28.248775519Z
nfl,2020-12-11T02:18:28.10884499Z
nfl,2020-12-11T03:18:28.309579696Z
nfl,2020-12-11T04:18:28.258671732Z
nfl,2020-12-11T05:18:28.253929499Z
nfl,2020-12-11T06:18:28.495453425Z
nfl,2020-12-11T07:18:28.292446045Z
nfl,2020-12-11T08:18:28.380819331Z
nfl,2020-12-11T09:18:28.252318228Z
